Sum of Female(Individuals Vaccinated),Sum of First Dose Administered,Sum of Male(Individuals Vaccinated),Sum of Second Dose Administered,State,Sum of Total Covaxin Administered,Sum of Total CoviShield Administered,Sum of Total Doses Administered,Sum of Total Individuals Registered,Sum of Total Individuals Vaccinated,Sum of Total Sessions Conducted,Sum of Total Sites ,Sum of Transgender(Individuals Vaccinated),Updated On
23464,60948,37482,18215,Arunachal Pradesh,175,60773,79163,89956,60948,3689,230,2,23/03/2021
69519,159167,89577,45334,Arunachal Pradesh,0,204501,204501,159167,159167,14300,115,71,23/04/2021
1920,2529,609,0,Arunachal Pradesh,0,2529,2529,43651,2529,227,124,0,24/01/2021
11761,22781,11020,5687,Arunachal Pradesh,73,22708,28468,62526,22781,1212,207,0,24/02/2021
23528,61085,37555,18315,Arunachal Pradesh,175,60910,79400,89981,61085,3783,233,2,24/03/2021
71033,162665,91561,46515,Arunachal Pradesh,0,209180,209180,162665,162665,11900,89,71,24/04/2021
2605,3442,837,0,Arunachal Pradesh,0,3442,3442,44546,3442,235,130,0,25/01/2021
12036,24649,12613,6560,Arunachal Pradesh,73,24576,31209,62538,24649,1265,207,0,25/02/2021
24651,63751,39043,19115,Arunachal Pradesh,177,63574,82866,92570,63751,3900,234,57,25/03/2021
71392,163535,92072,46800,Arunachal Pradesh,0,210335,210335,163535,163535,6100,43,71,25/04/2021
2614,3462,848,0,Arunachal Pradesh,0,3462,3462,44785,3462,240,133,0,26/01/2021
12163,25903,13740,6962,Arunachal Pradesh,76,25827,32865,60797,25903,1281,207,0,26/02/2021
25515,65840,40261,19797,Arunachal Pradesh,177,65663,85637,94520,65840,3992,234,64,26/03/2021
73540,168174,94562,48543,Arunachal Pradesh,0,216717,216717,168174,168174,12700,99,72,26/04/2021
2981,3998,1017,0,Arunachal Pradesh,0,3998,3998,45042,3998,269,144,0,27/01/2021
12163,25903,13740,6962,Arunachal Pradesh,76,25827,32865,60985,25903,1281,207,0,27/02/2021
26499,67852,41289,19969,Arunachal Pradesh,177,67675,87821,96494,67852,4061,234,64,27/03/2021
75313,172178,96792,49907,Arunachal Pradesh,0,222085,222085,172178,172178,12200,89,73,27/04/2021
4107,5470,1363,0,Arunachal Pradesh,0,5470,5470,45956,5470,294,150,0,28/01/2021
12163,25903,13740,6962,Arunachal Pradesh,76,25827,32865,61946,25903,1349,210,0,28/02/2021
26522,67913,41327,20021,Arunachal Pradesh,177,67736,87934,96555,67913,4096,234,64,28/03/2021
4615,6106,1491,0,Arunachal Pradesh,0,6106,6106,47022,6106,301,150,0,29/01/2021
26691,68337,41582,20038,Arunachal Pradesh,177,68160,88375,96978,68337,4169,234,64,29/03/2021
4948,6491,1543,0,Arunachal Pradesh,0,6491,6491,47837,6491,304,150,0,30/01/2021
27267,69680,42349,20989,Arunachal Pradesh,177,69503,90669,98278,69680,4221,234,64,30/03/2021
4969,6525,1556,0,Arunachal Pradesh,0,6525,6525,48168,6525,315,151,0,31/01/2021
27367,69890,42459,21085,Arunachal Pradesh,178,69712,90975,98458,69890,4303,239,64,31/03/2021
22324,32329,10004,0,Assam,2392,29937,32329,274884,32329,1240,417,1,01/02/2021
413531,960013,546367,155818,Assam,132065,827948,1115831,1183676,960013,63362,2882,115,01/04/2021
23757,34848,11090,0,Assam,2778,32070,34848,276829,34848,1425,500,1,02/02/2021
117056,216152,99058,30506,Assam,29103,187049,246658,466547,216152,8130,1077,38,02/03/2021
429299,989461,560044,162768,Assam,135537,853924,1152229,1211980,989461,65793,2889,118,02/04/2021
24449,36100,11650,0,Assam,2966,33134,36100,277707,36100,1717,604,1,03/02/2021
120070,236065,115957,32104,Assam,33559,202506,268169,483074,236065,10320,1182,38,03/03/2021
443802,1017354,573433,171057,Assam,138573,878781,1188411,1242833,1017354,68495,2899,119,03/04/2021
36782,52645,15836,0,Assam,4420,48225,52645,285796,52645,1955,656,27,04/02/2021
126004,272629,146586,37901,Assam,40358,232271,310530,513505,272629,12233,1255,39,04/03/2021
456786,1047611,590703,177676,Assam,160819,1064468,1225287,1047611,1047611,134500,876,122,04/04/2021
49735,68628,18866,0,Assam,5631,62997,68628,295388,68628,2136,715,27,05/02/2021
132992,307984,174951,46489,Assam,47477,260507,354473,544162,307984,14442,1319,41,05/03/2021
471325,1075940,604492,186284,Assam,165916,1096308,1262224,1075940,1075940,265440,1797,123,05/04/2021
57786,78498,20683,0,Assam,6707,71791,78498,304472,78498,2249,726,29,06/02/2021
140028,343601,203532,52568,Assam,55858,287743,396169,574723,343601,16828,1332,41,06/03/2021
482540,1097741,615074,192369,Assam,169735,1120375,1290110,1097741,1097741,220500,1524,127,06/04/2021
59173,80284,21082,0,Assam,6845,73439,80284,312455,80284,2401,743,29,07/02/2021
141681,354572,212848,53294,Assam,59290,295282,407866,584685,354572,18440,1376,43,07/03/2021
500643,1133750,632976,204730,Assam,176010,1162470,1338480,1133750,1133750,183231,1279,131,07/04/2021
67617,91026,23380,0,Assam,7630,83396,91026,321178,91026,2637,757,29,08/02/2021
149935,385170,235189,61359,Assam,65609,319561,446529,612525,385170,19819,1380,46,08/03/2021
524011,1181704,657559,223370,Assam,186386,1218688,1405074,1181704,1181704,228070,1746,134,08/04/2021
74947,100295,25317,0,Assam,8370,91925,100295,332040,100295,2779,773,31,09/02/2021
157042,408567,251474,68311,Assam,69966,338601,476878,634418,408567,21374,1392,51,09/03/2021
540564,1215483,674781,238777,Assam,196909,1257351,1454260,1215483,1215483,206150,1564,138,09/04/2021
76865,103044,26148,0,Assam,8399,94645,103044,341141,103044,2917,781,31,10/02/2021
162016,423607,261539,72113,Assam,72528,351079,495720,648281,423607,23239,1400,52,10/03/2021
550345,1236130,685641,249957,Assam,205481,1280606,1486087,1236130,1236130,143090,1195,144,10/04/2021
82434,109906,27441,0,Assam,8731,101175,109906,352407,109906,3068,791,31,11/02/2021
167631,440158,272472,75872,Assam,75401,364757,516030,663383,440158,24701,1410,55,11/03/2021
554148,1244425,690131,254268,Assam,208915,1289778,1498693,1244425,1244425,138010,1069,146,11/04/2021
88900,117506,28575,0,Assam,9012,108494,117506,361959,117506,3189,791,31,12/02/2021
173629,456074,282387,80455,Assam,77946,378128,536529,678501,456074,26177,1418,58,12/03/2021
563184,1263243,699911,267508,Assam,219354,1311397,1530751,1263243,1263243,179270,1372,148,12/04/2021
92182,122050,29837,2006,Assam,9367,112683,124056,365448,122050,3216,792,31,13/02/2021
178762,469858,291036,83867,Assam,80334,389524,553725,691833,469858,26818,1426,60,13/03/2021
568151,1274714,706415,275234,Assam,227004,1322944,1549948,1274714,1274714,151430,1182,148,13/04/2021
92242,122161,29888,2016,Assam,9367,112794,124177,366578,122161,3319,795,31,14/02/2021
179060,470950,291830,83930,Assam,80651,390299,554880,692808,470950,28580,1430,60,14/03/2021
569151,1276940,707641,276936,Assam,228510,1325366,1553876,1276940,1276940,152680,1151,148,14/04/2021
93911,124764,30822,3660,Assam,9542,115222,128424,370221,124764,3497,797,31,15/02/2021
185348,488257,302849,88003,Assam,83728,404529,576260,709209,488257,29893,1444,60,15/03/2021
569517,1277864,708199,277584,Assam,229009,1326439,1555448,1277864,1277864,148987,1087,148,15/04/2021
260,401,141,0,Assam,36,365,401,236847,401,79,64,0,16/01/2021
95861,127777,31885,5169,Assam,9691,118086,132946,378856,127777,3587,797,31,16/02/2021
191087,503905,312758,91481,Assam,85993,417912,595386,724168,503905,31058,1452,60,16/03/2021
571722,1282985,711115,281469,Assam,231490,1332964,1564454,1282985,1282985,144480,1086,148,16/04/2021
300,466,166,0,Assam,42,424,466,238049,466,119,68,0,17/01/2021
96585,128941,32325,5384,Assam,9770,119171,134325,383196,128941,3818,818,31,17/02/2021
194606,513595,318929,93319,Assam,87724,425871,606914,733224,513595,33235,1466,60,17/03/2021
576975,1295462,718336,290719,Assam,236613,1349568,1586181,1295462,1295462,97050,799,151,17/04/2021
461,722,261,0,Assam,63,659,722,234832,722,290,74,0,18/01/2021
98845,135328,36452,7622,Assam,10319,125009,142950,373929,135328,4055,841,31,18/02/2021
200737,530121,329324,97509,Assam,89419,440702,627630,749120,530121,34395,1478,60,18/03/2021
580148,1302992,722692,294473,Assam,239059,1358406,1597465,1302992,1302992,146130,1124,152,18/04/2021
829,1254,425,0,Assam,110,1144,1254,241236,1254,333,78,0,19/01/2021
103359,146695,43305,9857,Assam,10988,135707,156552,397358,146695,4254,850,31,19/02/2021
206428,544125,337637,103009,Assam,90873,453252,647134,762863,544125,36233,1535,60,19/03/2021
601937,1351522,749428,325191,Assam,253460,1423253,1676713,1351522,1351522,328720,2338,157,19/04/2021
829,1254,425,0,Assam,110,1144,1254,242805,1254,408,98,0,20/01/2021
105232,153329,48066,10590,Assam,11769,141560,163919,398959,153329,4402,867,31,20/02/2021
211862,557654,345732,108383,Assam,93010,464644,666037,775815,557654,38119,1676,60,20/03/2021
630597,1415214,784453,355158,Assam,270492,1499880,1770372,1415214,1415214,231990,1776,164,20/04/2021
1390,2163,773,0,Assam,175,1988,2163,246430,2163,493,120,0,21/01/2021
105412,155028,49585,10593,Assam,11955,143073,165621,403021,155028,4620,889,31,21/02/2021
213025,560569,347484,109016,Assam,93324,467245,669585,778325,560569,41632,2022,60,21/03/2021
649068,1454891,805653,369921,Assam,285438,1539374,1824812,1454891,1454891,268650,2048,170,21/04/2021
2608,3947,1339,0,Assam,234,3713,3947,250685,3947,523,132,0,22/01/2021
107319,165031,57680,13879,Assam,14129,150902,178910,403765,165031,4964,912,32,22/02/2021
222211,582391,360119,116252,Assam,95785,486606,698643,801587,582391,44289,2552,61,22/03/2021
673755,1508583,834647,389547,Assam,309712,1588418,1898130,1508583,1508583,265460,2146,181,22/04/2021
2695,4061,1366,0,Assam,247,3814,4061,252828,4061,586,164,0,23/01/2021
109200,174988,65756,15178,Assam,16954,158034,190166,405208,174988,5172,929,32,23/02/2021
282761,702641,419800,125096,Assam,104067,598574,827737,924540,702641,46437,2723,80,23/03/2021
696098,1556972,860686,403837,Assam,342507,1618302,1960809,1556972,1556972,170580,1402,188,23/04/2021
2920,4416,1496,0,Assam,256,4160,4416,255083,4416,647,191,0,24/01/2021
110047,179344,69264,15901,Assam,18978,160366,195245,410594,179344,5659,967,33,24/02/2021
298912,736028,437032,128579,Assam,106670,629358,864607,955036,736028,49301,2748,84,24/03/2021
712939,1592952,879818,412871,Assam,372430,1633393,2005823,1592952,1592952,104270,907,195,24/04/2021
7161,10886,3725,0,Assam,693,10193,10886,259954,10886,675,207,0,25/01/2021
112865,189178,76279,21768,Assam,21808,167370,210946,426319,189178,5937,985,34,25/02/2021
340811,818113,477205,135254,Assam,112401,705712,953367,1038446,818113,51849,2760,97,25/03/2021
718504,1605126,886426,415395,Assam,380857,1639664,2020521,1605126,1605126,94500,797,196,25/04/2021
7258,11021,3763,0,Assam,734,10287,11021,261573,11021,750,236,0,26/01/2021
113879,195376,81463,27758,Assam,24400,170976,223134,451163,195376,6027,990,34,26/02/2021
366510,868321,501708,139806,Assam,118149,750172,1008127,1089912,868321,53158,2767,103,26/03/2021
747089,1664201,916908,440526,Assam,409759,1694968,2104727,1664201,1664201,224700,1774,204,26/04/2021
8129,12407,4278,0,Assam,810,11597,12407,262039,12407,863,277,0,27/01/2021
113879,195376,81463,27758,Assam,24400,170976,223134,451181,195376,6027,990,34,27/02/2021
377777,890467,512587,141400,Assam,121672,768795,1031867,1111271,890467,53627,2770,103,27/03/2021
777398,1728642,951032,463683,Assam,431886,1760439,2192325,1728642,1728642,187600,1502,212,27/04/2021
14472,21430,6957,0,Assam,1478,19952,21430,267033,21430,1001,317,1,28/01/2021
113879,195376,81463,27758,Assam,24400,170976,223134,451184,195376,6104,991,34,28/02/2021
378172,891394,513119,141439,Assam,121752,769642,1032833,1112010,891394,55828,2770,103,28/03/2021
20414,29322,8907,0,Assam,2206,27116,29322,271200,29322,1034,327,1,29/01/2021
379500,894034,514431,141869,Assam,121892,772142,1035903,1114804,894034,58376,2816,103,29/03/2021
21281,30573,9291,0,Assam,2295,28278,30573,272308,30573,1066,343,1,30/01/2021
393586,921564,527866,146565,Assam,126627,794937,1068129,1142539,921564,60412,2838,112,30/03/2021
21379,30688,9308,0,Assam,2295,28393,30688,272958,30688,1112,364,1,31/01/2021
400314,934911,534485,150247,Assam,129202,805709,1085158,1155770,934911,61860,2866,112,31/03/2021
105337,144845,39417,0,Bihar,3467,141378,144845,397301,144845,4647,948,91,01/02/2021
1201435,2376624,1174960,420967,Bihar,79330,2297294,2797591,2607125,2376624,92996,3869,229,01/04/2021
132752,181290,48391,0,Bihar,4692,176598,181290,424169,181290,5363,972,147,02/02/2021
311865,568137,255970,90040,Bihar,31362,536775,658177,746618,568137,17393,1455,302,02/03/2021
1296324,2564430,1267858,427999,Bihar,91481,2472949,2992429,2795603,2564430,96180,4017,248,02/04/2021
162577,219359,56555,0,Bihar,5757,213602,219359,453510,219359,6012,985,227,03/02/2021
315332,581124,265503,108468,Bihar,31913,549211,689592,755237,581124,20006,1513,289,03/03/2021
1356264,2685620,1329095,433659,Bihar,103528,2582092,3119279,2930556,2685620,100340,4101,261,03/04/2021
198416,263973,65324,0,Bihar,6639,257334,263973,477899,263973,6741,1004,233,04/02/2021
321845,598233,276138,135437,Bihar,32277,565956,733670,769365,598233,22092,1526,250,04/03/2021
1460574,2908130,1447277,438709,Bihar,164103,3182736,3346839,2908130,2908130,356850,1683,279,04/04/2021
232234,308439,75944,0,Bihar,7501,300938,308439,495029,308439,7346,1058,261,05/02/2021
329430,618296,288627,159647,Bihar,33396,584900,777943,787747,618296,25186,1542,239,05/03/2021
1521629,3031775,1509853,446835,Bihar,182884,3295726,3478610,3031775,3031775,450951,2517,293,05/04/2021
245029,330327,85030,0,Bihar,8499,321828,330327,514350,330327,7646,1075,268,06/02/2021
339560,643684,303892,184968,Bihar,35203,608481,828652,811322,643684,28705,1557,232,06/03/2021
1615186,3217315,1601821,458828,Bihar,207945,3468198,3676143,3217315,3217315,466920,2674,308,06/04/2021
247277,335765,88219,0,Bihar,8513,327252,335765,529164,335765,8143,1105,269,07/02/2021
340003,644690,304455,185805,Bihar,35231,609459,830495,812479,644690,31237,1793,232,07/03/2021
1756381,3500712,1743992,481257,Bihar,222226,3759743,3981969,3500712,3500712,310600,1958,339,07/04/2021
254327,353743,99142,0,Bihar,9239,344504,353743,545876,353743,8597,1138,274,08/02/2021
440926,784521,343356,212334,Bihar,36110,748411,996855,963709,784521,32474,1833,239,08/03/2021
1836932,3663711,1826420,502092,Bihar,226278,3939525,4165803,3663711,3663711,375950,2107,359,08/04/2021
260776,373801,112731,0,Bihar,10386,363415,373801,566600,373801,8983,1176,294,09/02/2021
474357,847966,373380,233047,Bihar,38693,809273,1081013,1025044,847966,33326,1848,229,09/03/2021
1863961,3721775,1857449,511862,Bihar,228683,4004954,4233637,3721775,3721775,399850,2036,365,09/04/2021
263972,388881,124615,0,Bihar,10755,378126,388881,586793,388881,9350,1219,294,10/02/2021
496909,897173,400039,250493,Bihar,40971,856202,1147666,1073766,897173,34973,1897,225,10/03/2021
1979089,3953983,1974484,537244,Bihar,230671,4260556,4491227,3953983,3953983,529101,3056,410,10/04/2021
268294,409263,140674,0,Bihar,12936,396327,409263,601938,409263,9691,1237,295,11/02/2021
498943,901659,402491,251987,Bihar,41451,860208,1153646,1077781,901659,37430,2157,225,11/03/2021
2096134,4188252,2091666,556503,Bihar,232742,4512013,4744755,4188252,4188252,585150,3164,452,11/04/2021
271953,430554,158306,0,Bihar,16314,414240,430554,622150,430554,10258,1258,295,12/02/2021
543631,1003203,459355,272081,Bihar,43814,959389,1275284,1182176,1003203,39699,2311,217,12/03/2021
2186521,4372599,2185595,579846,Bihar,234507,4717938,4952445,4372599,4372599,496300,2720,483,12/04/2021
278141,451706,173265,55,Bihar,19232,432474,451761,665341,451706,10486,1270,300,13/02/2021
574881,1072779,497712,292378,Bihar,46301,1026478,1365157,1250821,1072779,40781,2330,186,13/03/2021
2226680,4456899,2229729,592446,Bihar,245029,4804316,5049345,4456899,4456899,395852,2219,490,13/04/2021
278376,452936,174260,55,Bihar,19330,433606,452991,679385,452936,10821,1277,300,14/02/2021
576943,1076903,499774,293425,Bihar,46479,1030424,1370328,1254465,1076903,44267,2350,186,14/03/2021
2298095,4608655,2310036,616991,Bihar,255369,4970277,5225646,4608655,4608655,516200,2886,524,14/04/2021
287413,470549,182836,13264,Bihar,20887,449662,483813,688116,470549,10950,1283,300,15/02/2021
605985,1141005,534833,311853,Bihar,47256,1093749,1452858,1321779,1141005,47012,2368,187,15/03/2021
2346892,4714910,2367479,637950,Bihar,269422,5083438,5352860,4714910,4714910,465760,2658,539,15/04/2021
2041,2967,926,0,Bihar,30,2937,2967,298563,2967,222,219,0,16/01/2021
287742,472215,184173,13518,Bihar,21262,450953,485733,698856,472215,11203,1292,300,16/02/2021
633168,1202778,569427,326068,Bihar,50328,1152450,1528846,1381523,1202778,48577,2382,183,16/03/2021
2373969,4774916,2400394,651371,Bihar,281410,5144877,5426287,4774916,4774916,391270,2168,553,16/04/2021
2545,3700,1155,0,Bihar,33,3667,3700,309230,3700,617,304,0,17/01/2021
290400,481352,190652,15155,Bihar,22634,458718,496507,730339,481352,11664,1300,300,17/02/2021
657435,1257644,600035,335880,Bihar,52809,1204835,1593524,1436963,1257644,50165,2412,174,17/03/2021
2427501,4895185,2467117,682821,Bihar,293703,5284303,5578006,4895185,4895185,432820,2612,567,17/04/2021
5728,7883,2155,0,Bihar,40,7843,7883,309572,7883,1037,345,0,18/01/2021
298029,497328,198999,32563,Bihar,24070,473258,529891,707859,497328,12058,1328,300,18/02/2021
687466,1322647,635002,347890,Bihar,53521,1269126,1670537,1503909,1322647,51250,2431,179,18/03/2021
2467783,4984400,2516039,701974,Bihar,301567,5384807,5686374,4984400,4984400,476580,2749,578,18/04/2021
11579,15546,3967,0,Bihar,107,15439,15546,316492,15546,1211,352,0,19/01/2021
303343,512327,208684,34676,Bihar,25385,486942,547003,742233,512327,12417,1330,300,19/02/2021
713582,1379841,666077,357335,Bihar,55855,1323986,1737176,1566049,1379841,53228,2479,182,19/03/2021
2519074,5099038,2579369,737639,Bihar,310307,5526370,5836677,5099038,5099038,509910,2984,595,19/04/2021
12125,16183,4058,0,Bihar,114,16069,16183,317356,16183,1466,369,0,20/01/2021
304562,519360,214498,38402,Bihar,26109,493251,557762,743213,519360,12701,1333,300,20/02/2021
747605,1452705,704924,368077,Bihar,58510,1394195,1820782,1639823,1452705,54756,2501,176,20/03/2021
2561314,5195367,2633442,768720,Bihar,319116,5644971,5964087,5195367,5195367,501070,2974,611,20/04/2021
19297,25254,5957,0,Bihar,283,24971,25254,323972,25254,1575,382,0,21/01/2021
304664,519787,214823,38522,Bihar,26109,493678,558309,743320,519787,12993,1340,300,21/02/2021
758958,1475805,716670,369500,Bihar,58890,1416915,1845305,1657773,1475805,57738,2528,177,21/03/2021
2592230,5265128,2672276,791983,Bihar,324892,5732219,6057111,5265128,5265128,452700,2744,622,21/04/2021
19600,25773,6173,0,Bihar,314,25459,25773,325933,25773,1910,527,0,22/01/2021
305279,523685,218106,55863,Bihar,27294,496391,579548,743611,523685,13263,1348,300,22/02/2021
787706,1536823,748938,375032,Bihar,59318,1477505,1911855,1730879,1536823,61373,2689,179,22/03/2021
2627167,5344307,2716504,825341,Bihar,332830,5836818,6169648,5344307,5344307,480430,3012,636,22/04/2021
28355,38409,10054,0,Bihar,683,37726,38409,333308,38409,2075,597,0,23/01/2021
306291,530477,223886,58405,Bihar,28143,502334,588882,743721,530477,13667,1356,300,23/02/2021
844290,1653860,809389,384932,Bihar,61795,1592065,2038792,1841454,1653860,64514,2917,181,23/03/2021
2658582,5415848,2756624,854934,Bihar,340190,5930592,6270782,5415848,5415848,448930,2793,642,23/04/2021
28599,38787,10188,0,Bihar,739,38048,38787,333750,38787,2168,622,0,24/01/2021
307278,538212,230634,59595,Bihar,29095,509117,597807,743767,538212,14203,1367,300,24/02/2021
892764,1754244,861294,391954,Bihar,64687,1689557,2146198,1944041,1754244,67616,3092,186,24/03/2021
2686679,5480243,2792909,881821,Bihar,347867,6014197,6362064,5480243,5480243,405540,2613,655,24/04/2021
37743,51676,13933,0,Bihar,1152,50524,51676,339535,51676,2290,629,0,25/01/2021
308275,546161,237584,75072,Bihar,29997,516164,621233,744169,546161,14748,1373,302,25/02/2021
952438,1873708,921077,398493,Bihar,65889,1807819,2272201,2066669,1873708,71671,3304,193,25/03/2021
2709931,5534535,2823940,902592,Bihar,352127,6085000,6437127,5534535,5534535,364600,2201,664,25/04/2021
37844,51808,13964,0,Bihar,1161,50647,51808,339889,51808,2407,654,0,26/01/2021
309882,559321,249136,78228,Bihar,31175,528146,637549,741689,559321,14997,1377,303,26/02/2021
1005529,1980495,974762,404098,Bihar,67519,1912976,2384593,2177592,1980495,74229,3389,204,26/03/2021
2745654,5615151,2868822,942706,Bihar,358812,6199045,6557857,5615151,5615151,475830,2970,675,26/04/2021
38561,53222,14661,0,Bihar,1503,51719,53222,340738,53222,2621,697,0,27/01/2021
1060132,2090296,1029955,408451,Bihar,69168,2021128,2498747,2288274,2090296,75897,3438,209,27/03/2021
2776519,5686449,2909244,975341,Bihar,364993,6296797,6661790,5686449,5686449,470380,2991,686,27/04/2021
51298,70412,19113,0,Bihar,1906,68506,70412,347438,70412,2888,773,1,28/01/2021
309882,559321,249136,78228,Bihar,31175,528146,637549,741691,559321,15121,1385,303,28/02/2021
